,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,길음제2동,길음제1동,127.0273155,37.6066647,127.0193925,37.6104856,길음제2동길음제1동,1322,420.306,3800
1,묵제1동,장안제3동,127.0784729,37.6123734,,,묵제1동장안제3동,0,0.0,0
2,반포4동,공릉1.3동,127.0003853,37.4974314,127.073838,37.624874,반포4동공릉1.3동,22186,1672.323,19700
3,응암제2동,삼성동,126.9230926,37.5946071,127.062532,37.5144424,응암제2동삼성동,29598,4377.764,28400
4,신당제3동,석수2동,,,126.9093548,37.4139694,신당제3동석수2동,0,0.0,0
5,미성동,신도림동,126.9155534,37.4761761,126.8805826,37.5077664,미성동신도림동,8478,1654.364,11090
6,신촌동,방화제3동,126.9418114,37.5640923,126.8135628,37.5787386,신촌동방화제3동,15302,1928.66,16300
7,양평제2동,화곡제1동,126.8939535,37.5364739,126.841562,37.530408,양평제2동화곡제1동,5881,880.968,7000
8,장안제2동,전농제1동,127.0706,37.578483,127.0477575,37.5779984,장안제2동전농제1동,3353,608.774,5100
9,송파1동,장지동,127.1093393,37.5062595,127.1354,37.4785,송파1동장지동,5924,914.703,7400
10,구로제2동,신길제1동,126.8834703,37.491377,126.9214285,37.5112667,구로제2동신길제1동,5102,1050.206,6700
11,응암제2동,연희동,126.9230926,37.5946071,126.9351754,37.5739083,응암제2동연희동,5062,895.197,6700
12,숭인제1동,은천동,127.0156274,37.5778049,126.9424278,37.4853086,숭인제1동은천동,18396,3207.951,19000
13,성산제2동,삼성동,126.9090061,37.568618,127.062532,37.5144424,성산제2동삼성동,25049,3335.018,22900
14,반포4동,잠실3동,127.0003853,37.4974314,127.094375,37.513333,반포4동잠실3동,12467,1556.418,12200
15,성내제2동,송파2동,127.129563,37.532425,127.1167651,37.502317,성내제2동송파2동,4801,912.502,6500
16,오류제2동,서초3동,126.8395371,37.4888016,127.0119725,37.4836682,오류제2동서초3동,17315,4187.573,24410
17,도봉제1동,수유제2동,127.0434369,37.6786913,127.0198777,37.6447027,도봉제1동수유제2동,6128,1237.017,8400
18,길음제2동,복정동,127.0273155,37.6066647,127.1270814,37.465827,길음제2동복정동,26205,3685.753,25350
19,증산동,아현동,126.9070404,37.5843063,126.95215,37.547125,증산동아현동,7581,1824.763,10200
20,세곡동,풍산동,127.1043555,37.4643683,126.7999452,37.6641075,세곡동풍산동,46524,4855.094,42150
21,하계2동,신설동,127.0679733,37.6320048,127.0255251,37.5749343,하계2동신설동,9941,2326.132,12900
22,신정3동,신월7동,126.8547892,37.5151685,126.8346571,37.5219343,신정3동신월7동,3225,755.551,4900
23,수유제3동,하계1동,127.023125,37.638715,127.0725852,37.6405374,수유제3동하계1동,6434,1526.969,9500
24,신촌동,창제5동,126.9418114,37.5640923,127.0436793,37.6563436,신촌동창제5동,27540,2750.516,24600
25,상계6.7동,회천3동,127.0669541,37.654882,127.0689798,37.8377866,상계6.7동회천3동,26590,2468.182,25970
26,삼각산동,신장2동,127.0207209,37.6151568,127.2140117,37.5417094,삼각산동신장2동,29605,3934.08,29870
27,개봉제3동,방배본동,126.853838,37.485993,126.988785,37.4941452,개봉제3동방배본동,18316,3394.494,24350
28,마천2동,숭인제1동,127.1485193,37.4968477,127.0156274,37.5778049,마천2동숭인제1동,20702,4120.462,25610
29,월계2동,중림동,127.0508,37.6325377,126.9644863,37.5548629,월계2동중림동,15338,4609.33,24200
30,신사동,고척제2동,127.0227814,37.5240101,126.8587122,37.5067055,신사동고척제2동,23757,2608.525,21200
31,증산동,신정2동,126.9070404,37.5843063,126.870679,37.5192314,증산동신정2동,9494,2246.188,11700
32,도봉제1동,숭인제1동,127.0434369,37.6786913,127.0156274,37.5778049,도봉제1동숭인제1동,17150,4042.748,21400
33,답십리제2동,마장동,127.06125,37.567417,127.045388,37.566325,답십리제2동마장동,2700,891.804,4700
34,상계2동,구의제3동,127.0678377,37.6574727,127.0920204,37.5380706,상계2동구의제3동,19702,3323.443,22490
35,구의제2동,면목제7동,127.0899111,37.5472481,127.0869854,37.5789945,구의제2동면목제7동,5164,996.115,6400
36,번제3동,거여2동,127.04665,37.625874,127.1468764,37.4935803,번제3동거여2동,31069,4990.4,31300
37,이문제3동,장항2동,,,126.7783329,37.649886,이문제3동장항2동,0,0.0,0
38,영등포동,안양1동,126.9106918,37.5203985,126.9259084,37.3989921,영등포동안양1동,24677,2276.559,22830
39,우장산동,반포1동,126.8418849,37.5482468,127.0135073,37.5050895,우장산동반포1동,22488,4147.78,23400
40,독산제1동,광명3동,126.897041,37.4702453,126.8569482,37.4802281,독산제1동광명3동,5461,931.201,7410
41,방배본동,철산1동,126.988785,37.4941452,126.8678956,37.4908162,방배본동철산1동,22457,2476.526,20170
42,대치4동,이문제3동,127.0579127,37.4997415,,,대치4동이문제3동,0,0.0,0
43,응암제1동,수동면,126.926813,37.6006884,127.3259145,37.7035168,응암제1동수동면,59381,4883.359,53830
44,목3동,아현동,126.8644431,37.5448009,126.95215,37.547125,목3동아현동,9671,1915.731,11200
45,방이2동,거여1동,127.1114868,37.5164444,127.1432324,37.4969643,방이2동거여1동,4612,865.833,6700
46,종암동,월계2동,127.0351572,37.5990075,127.0508,37.6325377,종암동월계2동,5105,1014.256,6500
47,숭인제1동,도봉제1동,127.0156274,37.5778049,127.0434369,37.6786913,숭인제1동도봉제1동,13370,2483.456,15200
48,공릉2동,중계4동,127.083488,37.621332,127.0780091,37.6587275,공릉2동중계4동,5205,956.16,6900
49,고척제2동,신사동,126.8587122,37.5067055,127.0227814,37.5240101,고척제2동신사동,18330,3694.672,21000
50,등촌제3동,가산동,126.847881,37.5589789,126.8917326,37.4769094,등촌제3동가산동,13706,3033.185,18110
51,장안제1동,이문제2동,127.066375,37.567842,127.065075,37.6033571,장안제1동이문제2동,5191,806.652,6200
52,이화동,홍제제2동,127.004338,37.577008,126.949338,37.586107,이화동홍제제2동,6297,1087.07,7200
53,가양제2동,신사제1동,126.8512826,37.5673763,126.9117735,37.5978445,가양제2동신사제1동,10021,1582.335,11310
54,종로1.2.3.4가동,여의동,126.9902618,37.574461,126.934584,37.5177232,종로1.2.3.4가동여의동,9910,1852.302,11900
55,서초3동,오류제2동,127.0119725,37.4836682,126.8395371,37.4888016,서초3동오류제2동,18215,2745.985,19490
56,미아동,종로1.2.3.4가동,127.0269791,37.6270736,126.9902618,37.574461,미아동종로1.2.3.4가동,8799,3293.206,15700
57,독산제1동,암사제1동,126.897041,37.4702453,127.132663,37.551508,독산제1동암사제1동,29926,4339.7,29100
58,면목제4동,구미동,127.0855775,37.5746736,127.1226373,37.3402542,면목제4동구미동,33600,4311.984,34850
59,가양제3동,천호제2동,126.8605955,37.561092,127.1254351,37.5435257,가양제3동천호제2동,30773,3621.532,26100
60,보라매동,등촌제3동,126.9327389,37.4881456,126.847881,37.5589789,보라매동등촌제3동,16509,2590.893,17600
61,마천2동,거여2동,127.1485193,37.4968477,127.1468764,37.4935803,마천2동거여2동,812,175.463,3800
62,천호제3동,한강로동,127.1332269,37.5361455,126.9692332,37.5281071,천호제3동한강로동,22711,2782.997,19900
63,개봉제3동,신길제1동,126.853838,37.485993,126.9214285,37.5112667,개봉제3동신길제1동,11099,2206.481,14850
64,번제2동,사우동,127.0387953,37.6323588,126.716725,37.6193404,번제2동사우동,40013,4471.584,36790
65,숭인제2동,행운동,127.019988,37.574867,126.9570456,37.4806541,숭인제2동행운동,18397,3375.282,18900
66,신내1동,지금동,127.099538,37.605882,127.1638249,37.6026192,신내1동지금동,10044,1416.959,11410
67,독산제1동,사당제1동,126.897041,37.4702453,126.9786682,37.4830639,독산제1동사당제1동,10911,2023.685,12500
68,잠원동,연남동,127.0140771,37.5149619,126.922027,37.564501,잠원동연남동,17300,2347.931,16700
69,혜화동,한강로동,127.0005764,37.5869186,126.9692332,37.5281071,혜화동한강로동,11452,1877.556,12000
70,난향동,독산제2동,126.918842,37.461429,126.9034825,37.4631474,난향동독산제2동,4571,851.273,6000
