구,기준년월,택시요금
강남구,201801,15051400
강남구,201802,12681600
강남구,201803,13045200
강남구,201804,11607300
강남구,201805,13776500
강남구,201806,12158600
강남구,201807,14362300
강남구,201808,14777500
강남구,201809,16165900
강남구,201810,14872200
강남구,201811,15568700
강남구,201812,13268500
강남구,201901,14003700
강남구,201902,13975000
강남구,201903,11966500
강남구,201904,11118900
강남구,201905,12935800
강남구,201906,12891300
강남구,201907,14613200
강남구,201908,15847700
강남구,201909,17181900
강남구,201910,17165900
강남구,201911,17005500
강남구,201912,18307200
강남구,202001,17230500
강남구,202002,16263200
강남구,202003,11946900
강남구,202004,13609600
강남구,202005,17676700
강남구,202006,19627100
강남구,202007,17574700
강남구,202008,17411500
강남구,202009,16381900
강남구,202010,17559700
강남구,202011,15934300
강남구,202012,16564100
강남구,202101,14951700
강남구,202102,13545300
강남구,202103,13705700
강남구,202104,16721300
강남구,202105,16194300
강남구,202106,18134000
강남구,202107,18039500
강남구,202108,17813200
강남구,202109,16527600
강남구,202110,16830300
강남구,202111,15112900
강남구,202112,17185900
강남구,202201,16092100
강남구,202202,14257100
강남구,202203,15842800
강남구,202204,15714200
강남구,202205,16800900
강남구,202206,14571700
강동구,201801,8589500
강동구,201802,9049400
강동구,201803,8870100
강동구,201804,8644200
강동구,201805,10205900
강동구,201806,10248400
강동구,201807,9641100
강동구,201808,10398100
강동구,201809,11760100
강동구,201810,10300300
강동구,201811,9600800
강동구,201812,9955200
강동구,201901,12351000
강동구,201902,9585600
강동구,201903,10579300
강동구,201904,8383400
강동구,201905,8682500
강동구,201906,10307900
강동구,201907,8374400
강동구,201908,10690900
강동구,201909,11581400
강동구,201910,12471000
강동구,201911,10506200
강동구,201912,10101200
강동구,202001,12225300
강동구,202002,10273500
강동구,202003,10986300
강동구,202004,11240300
강동구,202005,11773200
강동구,202006,11044400
강동구,202007,10552200
강동구,202008,11874600
강동구,202009,9414100
강동구,202010,10330800
강동구,202011,12360500
강동구,202012,9665900
강동구,202101,10884300
강동구,202102,8402400
강동구,202103,8809000
강동구,202104,10704800
강동구,202105,11785100
강동구,202106,10116700
강동구,202107,10814500
강동구,202108,10941200
강동구,202109,9519400
강동구,202110,9106000
강동구,202111,8684600
강동구,202112,9055300
강동구,202201,9406200
강동구,202202,10334500
강동구,202203,11256900
강동구,202204,8704300
강동구,202205,10832900
강동구,202206,9595200
강북구,201801,9495200
강북구,201802,9004800
강북구,201803,10010200
강북구,201804,9907300
강북구,201805,9309800
강북구,201806,9087100
강북구,201807,8524900
강북구,201808,9515100
강북구,201809,9419400
강북구,201810,11206400
강북구,201811,9717600
강북구,201812,9578000
강북구,201901,9351700
강북구,201902,8802800
강북구,201903,10293500
강북구,201904,8766700
강북구,201905,9197900
강북구,201906,8888200
강북구,201907,9508900
강북구,201908,10110500
강북구,201909,9292300
강북구,201910,11188000
강북구,201911,10093700
강북구,201912,9726100
강북구,202001,12169200
강북구,202002,11341300
강북구,202003,10264600
강북구,202004,10170800
강북구,202005,10871100
강북구,202006,10424100
강북구,202007,11803200
강북구,202008,10231600
강북구,202009,10571900
강북구,202010,12116600
강북구,202011,12874300
강북구,202012,11941300
강북구,202101,11994200
강북구,202102,11425900
강북구,202103,13818600
강북구,202104,13644800
강북구,202105,15512000
강북구,202106,13996200
강북구,202107,13916000
강북구,202108,12556200
강북구,202109,13202500
강북구,202110,13690500
강북구,202111,13615200
강북구,202112,12845100
강북구,202201,13149800
강북구,202202,11724600
강북구,202203,13901300
강북구,202204,13954500
강북구,202205,13644000
강북구,202206,10735300
강서구,201801,27882300
강서구,201802,25623500
강서구,201803,27663200
강서구,201804,31588200
강서구,201805,29794600
강서구,201806,28794900
강서구,201807,31322100
강서구,201808,30870300
강서구,201809,30796100
강서구,201810,29153800
강서구,201811,28749800
강서구,201812,27218100
강서구,201901,26539600
강서구,201902,26425200
강서구,201903,32888100
강서구,201904,32131800
강서구,201905,31762000
강서구,201906,29638800
강서구,201907,29930600
강서구,201908,29278600
강서구,201909,27845700
강서구,201910,28712300
강서구,201911,29009800
강서구,201912,28264200
강서구,202001,27972500
강서구,202002,28678200
강서구,202003,26072300
강서구,202004,24965600
강서구,202005,27833100
강서구,202006,26188200
강서구,202007,27209100
강서구,202008,24873000
강서구,202009,24085700
강서구,202010,27042900
강서구,202011,27071000
강서구,202012,25992900
강서구,202101,24544800
강서구,202102,25525900
강서구,202103,29757300
강서구,202104,28135400
강서구,202105,29337000
강서구,202106,30237800
강서구,202107,27083200
강서구,202108,25623300
강서구,202109,26525600
강서구,202110,30336500
강서구,202111,31141400
강서구,202112,30644900
강서구,202201,31074900
강서구,202202,29092500
강서구,202203,30045200
강서구,202204,31270600
강서구,202205,29561100
강서구,202206,23483800
과천시,201807,44200
과천시,201808,83800
과천시,202101,88200
과천시,202108,82300
관악구,201801,12838300
관악구,201802,10418300
관악구,201803,13820400
관악구,201804,12707500
관악구,201805,13509500
관악구,201806,13676500
관악구,201807,14773900
관악구,201808,12292300
관악구,201809,14283700
관악구,201810,13929600
관악구,201811,13788300
관악구,201812,12906700
관악구,201901,14587300
관악구,201902,11221400
관악구,201903,12450400
관악구,201904,13840700
관악구,201905,14784600
관악구,201906,13874800
관악구,201907,15652200
관악구,201908,17157500
관악구,201909,15165000
관악구,201910,13748900
관악구,201911,14922500
관악구,201912,14327300
관악구,202001,12775700
관악구,202002,10945300
관악구,202003,8845200
관악구,202004,9981500
관악구,202005,11478900
관악구,202006,10262800
관악구,202007,9990400
관악구,202008,10702900
관악구,202009,10871600
관악구,202010,10955000
