통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
201808,서울특별시,종로구,지체,남자,1477
201808,서울특별시,종로구,청각,여자,337
201808,서울특별시,종로구,언어,남자,34
201808,서울특별시,종로구,언어,여자,10
201808,서울특별시,종로구,지적,남자,222
201808,서울특별시,종로구,지적,여자,156
201808,서울특별시,종로구,뇌병변,남자,351
201808,서울특별시,종로구,뇌병변,여자,222
201808,서울특별시,종로구,자폐성,남자,87
201808,서울특별시,종로구,자폐성,여자,18
201808,서울특별시,종로구,정신,남자,150
201808,서울특별시,종로구,정신,여자,105
201808,서울특별시,종로구,신장,남자,153
201808,서울특별시,종로구,지체,여자,1281
201808,서울특별시,종로구,신장,여자,84
201808,서울특별시,종로구,심장,남자,8
201808,서울특별시,종로구,심장,여자,8
201808,서울특별시,종로구,호흡기,남자,19
201808,서울특별시,종로구,시각,남자,457
201808,서울특별시,종로구,호흡기,여자,5
201808,서울특별시,종로구,간,남자,30
201808,서울특별시,종로구,간,여자,11
201808,서울특별시,종로구,안면,남자,3
201808,서울특별시,종로구,안면,여자,3
201808,서울특별시,종로구,장루.요루,남자,18
201808,서울특별시,종로구,장루.요루,여자,12
201808,서울특별시,종로구,뇌전증,남자,8
201808,서울특별시,종로구,뇌전증,여자,10
201808,서울특별시,종로구,시각,여자,269
201808,서울특별시,종로구,청각,남자,445
201808,서울특별시,중구,지체,남자,1450
201808,서울특별시,중구,청각,여자,294
201808,서울특별시,중구,언어,남자,23
201808,서울특별시,중구,언어,여자,7
201808,서울특별시,중구,지적,남자,186
201808,서울특별시,중구,지적,여자,134
201808,서울특별시,중구,뇌병변,남자,363
201808,서울특별시,중구,뇌병변,여자,205
201808,서울특별시,중구,자폐성,남자,49
201808,서울특별시,중구,자폐성,여자,11
201808,서울특별시,중구,정신,남자,132
201808,서울특별시,중구,정신,여자,96
201808,서울특별시,중구,신장,남자,119
201808,서울특별시,중구,신장,여자,99
201808,서울특별시,중구,지체,여자,1233
201808,서울특별시,중구,심장,남자,9
201808,서울특별시,중구,심장,여자,4
201808,서울특별시,중구,호흡기,남자,22
201808,서울특별시,중구,호흡기,여자,3
201808,서울특별시,중구,간,남자,20
201808,서울특별시,중구,시각,남자,457
201808,서울특별시,중구,간,여자,8
201808,서울특별시,중구,안면,남자,2
201808,서울특별시,중구,안면,여자,4
201808,서울특별시,중구,장루.요루,남자,24
201808,서울특별시,중구,장루.요루,여자,12
201808,서울특별시,중구,뇌전증,남자,18
201808,서울특별시,중구,뇌전증,여자,9
201808,서울특별시,중구,시각,여자,279
201808,서울특별시,중구,청각,남자,400
201808,서울특별시,용산구,청각,남자,553
201808,서울특별시,용산구,청각,여자,468
201808,서울특별시,용산구,언어,남자,50
201808,서울특별시,용산구,언어,여자,19
201808,서울특별시,용산구,지적,남자,330
201808,서울특별시,용산구,지체,남자,2017
201808,서울특별시,용산구,지적,여자,190
201808,서울특별시,용산구,뇌병변,남자,502
201808,서울특별시,용산구,뇌병변,여자,336
201808,서울특별시,용산구,지체,여자,1691
201808,서울특별시,용산구,자폐성,남자,79
201808,서울특별시,용산구,자폐성,여자,19
201808,서울특별시,용산구,정신,남자,156
201808,서울특별시,용산구,정신,여자,135
201808,서울특별시,용산구,신장,남자,207
201808,서울특별시,용산구,신장,여자,130
201808,서울특별시,용산구,심장,남자,11
201808,서울특별시,용산구,심장,여자,7
201808,서울특별시,용산구,호흡기,남자,39
201808,서울특별시,용산구,호흡기,여자,9
201808,서울특별시,용산구,간,남자,49
201808,서울특별시,용산구,간,여자,14
201808,서울특별시,용산구,안면,남자,5
201808,서울특별시,용산구,안면,여자,2
201808,서울특별시,용산구,장루.요루,남자,48
201808,서울특별시,용산구,장루.요루,여자,19
201808,서울특별시,용산구,시각,남자,621
201808,서울특별시,용산구,뇌전증,남자,10
201808,서울특별시,용산구,뇌전증,여자,10
201808,서울특별시,용산구,시각,여자,381
201808,서울특별시,성동구,청각,여자,645
201808,서울특별시,성동구,언어,남자,84
201808,서울특별시,성동구,언어,여자,27
201808,서울특별시,성동구,지적,남자,425
201808,서울특별시,성동구,지적,여자,256
201808,서울특별시,성동구,지체,남자,3240
201808,서울특별시,성동구,뇌병변,남자,781
201808,서울특별시,성동구,뇌병변,여자,477
201808,서울특별시,성동구,자폐성,남자,137
201808,서울특별시,성동구,자폐성,여자,23
201808,서울특별시,성동구,정신,남자,249
201808,서울특별시,성동구,정신,여자,200
201808,서울특별시,성동구,신장,남자,256
201808,서울특별시,성동구,신장,여자,201
201808,서울특별시,성동구,지체,여자,2556
201808,서울특별시,성동구,심장,남자,28
201808,서울특별시,성동구,심장,여자,9
201808,서울특별시,성동구,호흡기,남자,73
201808,서울특별시,성동구,호흡기,여자,20
201808,서울특별시,성동구,간,남자,57
201808,서울특별시,성동구,시각,남자,721
201808,서울특별시,성동구,간,여자,23
201808,서울특별시,성동구,안면,남자,7
201808,서울특별시,성동구,안면,여자,6
201808,서울특별시,성동구,장루.요루,남자,61
201808,서울특별시,성동구,장루.요루,여자,31
201808,서울특별시,성동구,뇌전증,남자,26
201808,서울특별시,성동구,뇌전증,여자,15
201808,서울특별시,성동구,시각,여자,500
201808,서울특별시,성동구,청각,남자,743
201808,서울특별시,광진구,청각,여자,638
